OBJECTID,type_,desc_type,nom_plant,culture,echelle,province,nom_acquer,etat_plant,sup_adm_ha,sup_sig_ha,created_user,created_date,last_edited_user,last_edited_date,globalid,proprietaire,note,Shape__Area,Shape__Length
58,5120100,Culture annuelle, , ,De 100 à 1000 hectares,, ,En activité,106,,USER,2019/11/19 10:13:35+00,USER,2019/11/19 10:14:37+00,59a0ef58-9585-420e-b37a-12771da1214e, , ,1064299.51824951,4608.71497341359
59,5120100,Culture annuelle, , ,De 10 à 30 hectares,, ,En activité,20,,USER,2019/11/19 10:13:35+00,USER,2019/11/19 10:14:37+00,d8fbc35f-543b-48da-8989-25521cb2e324, , ,202761.345703125,2259.5996887626
60,5120100,Culture annuelle, , ,De 100 à 1000 hectares,, ,En activité,916,,USER,2019/11/19 10:13:35+00,USER,2019/11/19 10:14:37+00,9684451b-80df-4ea6-9758-073422beea39, ,En extension 2017-2018,9340256.56640625,18826.2892680362
61,5120100,Culture annuelle, , ,De 100 à 1000 hectares,, ,En activité,174,,USER,2019/11/19 10:13:35+00,USER,2019/11/19 10:14:37+00,831425f4-5fe0-4dde-a502-01fb2e4f52d5, , ,1781099.80224609,9481.18574141356
62,5120100,Culture annuelle,Ferme Naviundu, ,De 100 à 1000 hectares,, ,En activité,487,,USER,2019/11/19 10:13:35+00,USER,2019/11/19 10:14:37+00,4dda3d9b-641e-4b6b-b28e-07b604e0c9e7,Université de Lubumbashi, ,4970710.9440918,10247.2851499086
63,5120100,Culture annuelle, , ,De 100 à 1000 hectares,, ,En activité,230,,USER,2019/11/19 10:13:35+00,USER,2019/11/19 10:14:37+00,5f6651ed-4f4c-41df-b555-4dca3920a512, , ,2314708.20715332,9790.39157629515
64,5120100,Culture annuelle,Parc agro-industriel de Bukanga-Lonzo, ,De plus de 1000 hectares,, ,En activité,8310,,USER,2019/11/19 10:13:35+00,USER,2019/11/19 10:14:37+00,3821a98a-2c48-4bf2-a0e5-e7c2a25fcaec, , ,83373712.9604492,95460.6295405372
65,5120100,Culture annuelle, , ,De 100 à 1000 hectares,, ,En activité,143,,USER,2019/11/19 10:13:35+00,USER,2019/11/19 10:14:37+00,dbf576ac-2bb6-4cb6-8fec-2c110292347b, , ,1452349.53808594,5596.41041257027
66,5120100,Culture annuelle, , ,De 100 à 1000 hectares,, ,En activité,219,,USER,2019/11/19 10:13:35+00,USER,2019/11/19 10:14:37+00,53d11ecf-f5d4-4013-b06b-d895c6fcac06, , ,2226144.49609375,6029.94232572407
67,5120100,Culture annuelle, , ,De 100 à 1000 hectares,, ,En activité,189,,USER,2019/11/19 10:13:35+00,USER,2019/11/19 10:14:37+00,1cac601f-9d57-442e-bb5a-f940097b5433, , ,1919692.26855469,10585.6478959189
68,5120100,Culture annuelle, , ,De 30 à 100 hectares,, ,En activité,98,,USER,2019/11/19 10:13:35+00,USER,2019/11/19 10:14:37+00,530fc159-0812-4d07-a9a7-1d52a65abb52, , ,996820.116210938,4774.03410825592
69,5120100,Culture annuelle, , ,De 30 à 100 hectares,, ,En activité,62,,USER,2019/11/19 10:13:35+00,USER,2019/11/19 10:14:37+00,2c16cef5-3cbd-407d-a7fd-a471377e72ad, , ,620935.148132324,4174.74332020214
70,5120000,Culture pérenne, , ,De 30 à 100 hectares,, ,Abandonné,49,,USER,2019/11/19 10:10:14+00,USER,2019/11/19 10:10:49+00,9291de59-940f-4948-84c6-ff35f0abcce0, , ,486578.956848145,3047.52689868748
