OBJECTID,type_,desc_type,num_ccf,num_ga,statu_ccf,ref_ccf,date_attr,date_echea,attributai,orig_capit,statu_pg,statu_amgt,date_amgt,statu_cert,type_cert,date_cert,dat_ech_ce,statu_leg,date_legal,dat_ech_le,sup_adm_ha,sup_ccf_ha,sup_exp_ha,sup_sig_ha,created_user,created_date,last_edited_user,last_edited_date,globalid,ancien_nom,num_ccc,Shape__Area,Shape__Length
76,4110112,Concession forestière de Conservation,,,,,,,GTC,,,,,,,,,,,,,,,97723,,,,,325ae34f-3dfb-41b5-ac30-56e74bd53c50,,trouver contrat,983815467.347486,148023.845134538
77,4110112,Concession forestière de Conservation,,,,,,,GTC,,,,,,,,,,,,,,,303633,,,,,4182daf4-fdcc-49b2-ac1d-e6d3191566f5,,trouver contrat,3069155556.14197,335221.148599009
78,4110112,Concession forestière de Conservation,,,,,24 mars 2017,,ICB,,,,,,,,,,,,260469,,,279638,,,,,641b9833-8c68-45d8-8bb0-c0dd23f70e99,,063/2017,2824616118.26599,299820.728030577
80,4110112,Concession forestière de Conservation,,,,,,,GTC,,,,,,,,,,,,,,,294504,,,,,7d90f53f-5905-415f-8d13-23a5dca800d5,,045/2017,2972254777.29999,354969.872476955
81,4110112,Concession forestière de Conservation,,,,,24 mars 2017,,ICB,,,,,,,,,,,,243771,,,244400,,,,,8e6358bd-150b-4e46-bbd3-d80cbd7a0b7c,,065/2017,2468174546.21429,288049.840254332
82,4110112,Concession forestière de Conservation,,,,,24 mars 2017,,BRIC,,,,,,,,,,,,206587,,,208126,,,,,d8f433a8-0a2f-4163-978e-7597f3d87271,,022/2017,2095603498.27513,264227.684301644
83,4110112,Concession forestière de Conservation,,,,,24 mars 2017,,GTC,,,,,,,,,,,,294058,,,295378,,,,,bbcb9d12-34ee-4723-95d4-0b67ae1ad962,,040/2017,2981603486.56238,277323.812614962
84,4110112,Concession forestière de Conservation,,,,,24 mars 2017,,BIG TRUST,,,,,,,,,,,,294650,,,324548,,,,,c51a1d4b-4d9d-48f4-9fb9-c3821acc9e08,,056/2017,3276015807.17682,325220.084277602
85,4110112,Concession forestière de Conservation,,,,,24 mars 2017,,BRIC,,,,,,,,,,,,264086,,,266084,,,,,bb897f73-4744-4675-a666-803a530a55c4,,023/2017,2678875107.4086,351733.070031092
86,4110112,Concession forestière de Conservation,,,,,,,GTC,,,,,,,,,,,,,,,182156,,,,,302295e8-c7a1-4344-a744-d70ecbacc509,,trouver contrat,1833840807.93793,228047.08977204
87,4110112,Concession forestière de Conservation,,,,,24 mars 2017,,GTC,,,,,,,,,,,,299716,,,308531,,,,,cba49ae1-977f-48b3-9bc0-bd07c0c2e59e,,029/2017,3113874813.90546,329008.602762786
88,4110112,Concession forestière de Conservation,,,,,,,BRIC,,,,,,,,,,,,246161,,,206676,,,,,7ae16bec-7c34-48a2-b3bf-adc8606016b2,,021/2017,2081408565.99706,314499.155486674
89,4110112,Concession forestière de Conservation,,,,,24 mars 2017,,BIG TRUST,,,,,,,,,,,,299150,,,290350,,,,,4571b2f6-e908-489a-b889-43ba3703029c,,055/2017,2928689204.40955,340081.983483271
90,4110112,Concession forestière de Conservation,,,,,,,ICB,,,,,,,,,,,,,,,290278,,,,,f2b73882-0217-4f4b-8a10-190325ed7f14,,trouver contrat,2935112632.08325,406062.572064999
91,4110112,Concession forestière de Conservation,,,,,,,ICB,,,,,,,,,,,,,,,284594,,,,,969a3206-70a8-4668-9e68-b50a01f00256,,trouver contrat,2877276021.65112,267307.370271685
92,4110112,Concession forestière de Conservation,,,,,24 mars 2017,,GTC,,,,,,,,,,,,272182,,,272316,,,,,7e8b267e-65d7-4717-a91f-158f119b72ca,,032/2017,2745895694.07306,272120.477964035
93,4110112,Concession forestière de Conservation,,,,,24 mars 2017,,GTC,,,,,,,,,,,,269632,,,267047,,,,,9a11028a-8699-4c5a-bafe-2c8510a59d4d,,027/2017,2694809601.1106,247856.540975465
94,4110112,Concession forestière de Conservation,,,,,24 mars 2017,,BRIC,,,,,,,,,,,,280711,,,283848,,,,,6e995fcc-3594-43b0-b674-0bddb8ef71ce,,020/2017,2870517653.88568,305420.039795356
